,datetime,id,tweet
0,2021-04-29 03:57:55,1387617112898908162,"RT @SpaceX: Falcon 9’s first stage has landed on the Just Read the Instructions droneship, completing this booster’s seventh launch and lan…"
1,2021-04-29 01:07:51,1387574315969880068,"@jgrano305 @tobyliiiiiiiiii @teslaownersSV @TeslaNY @Tesla Hopefully, later this year for several more states. Insu… https://t.co/KZHBd43bxA"
2,2021-04-29 01:05:26,1387573708483710978,@tobyliiiiiiiiii @teslaownersSV @TeslaNY @Tesla And hopefully EU this summer
3,2021-04-29 01:04:40,1387573516040609796,@tobyliiiiiiiiii @teslaownersSV @TeslaNY @Tesla Probably a few months. There are many subtle differences between US &amp; Canada driving.
4,2021-04-29 01:02:04,1387572858768007179,@teslaownersSV @TeslaNY @Tesla Gating factor is achieving &amp; proving higher safety with pure vision than with vision… https://t.co/TW7MpE8Ayi
5,2021-04-29 00:05:15,1387558563208368131,@teslaownersSV @TeslaNY @Tesla Probably two weeks
6,2021-04-28 23:57:34,1387556627298070531,@TeslaNY @Tesla Good technical analysis
7,2021-04-28 22:22:53,1387532802116173825,@heydave7 Yes
8,2021-04-28 21:55:33,1387525922463666179,"@squawksquare Sorry 🤣🤣 
https://t.co/v98BnxPXg6"
9,2021-04-28 21:50:07,1387524555409924102,@WR4NYGov @garyblack00 @Tesla @WholeMarsBlog 🤣🤣 exactly
10,2021-04-28 21:48:58,1387524266191687685,@OwenSparks_ @nbcsnl @MileyCyrus Might be something there haha
11,2021-04-28 21:46:45,1387523708458254337,"@skorusARK Best-selling by revenue in 2022, possibly by unit volume in 2023"
12,2021-04-28 19:49:09,1387494112904060933,@collision @SpaceX Cool! 🇮🇪
13,2021-04-28 08:54:22,1387329332541104131,@RationalEtienne @Erdayastronaut @Twisi80 Starship is literally more pointy because of that movie haha
14,2021-04-28 08:51:43,1387328662073188353,@RiusJulien https://t.co/paTKsQjNp8
15,2021-04-28 08:43:37,1387326627160408067,"♥️
https://t.co/juLuKlymEX"
16,2021-04-28 07:33:33,1387308991743672322,@AstroJordy @wapodavenport 0% so far
17,2021-04-28 06:21:41,1387290907108679680,@muratpak 🔥
18,2021-04-28 06:20:47,1387290679794089986,"The Dogefather
SNL May 8"
19,2021-04-28 04:53:39,1387268753369583616,"@wapodavenport Did my heart love till now? forswear it, sight!
For I ne'er saw true beauty till this night."
20,2021-04-28 04:44:21,1387266412683702274,"@wapodavenport Romeo + Juliet, fish tank scene"
21,2021-04-28 03:25:43,1387246623340732421,@Erdayastronaut @Twisi80 Testing header tanks. All good so far.
22,2021-04-27 23:01:26,1387180114836967427,"@leastImAlive @thesheetztweetz They have an important role to play in protecting the public from getting swindled,… https://t.co/DJ2SUlliJZ"
23,2021-04-27 22:45:43,1387176157737541641,"@thesheetztweetz FCC is fair &amp; sensible. NHTSA &amp; FAA too. 99.9% of the time, I agree with regulators! 

On rare occ… https://t.co/w8mxrjXh3p"
24,2021-04-27 22:32:29,1387172830094233601,"@garyblack00 Other companies spend money on advertising &amp; manipulating public opinion, Tesla focuses on the product. 

I trust the people."
25,2021-04-27 21:34:19,1387158189985173505,@DocumentingBTC Yes
26,2021-04-27 20:25:41,1387140919145766912,@PPathole Yup
27,2021-04-27 20:24:48,1387140695387951105,"@garyblack00 @CGrantWSJ @WSJ I find it more helpful to read/follow individual journalists, rather than publications… https://t.co/zDRXthEyDc"
28,2021-04-27 00:37:20,1386841861323698177,@kchangnyt https://t.co/eLvYOnn6zT
29,2021-04-27 00:15:00,1386836238771105793,"Starship SN15 static fire completed, preparing for flight later this week"
30,2021-04-27 00:13:39,1386835900169129984,@jeff_foust True 🤣🤣
31,2021-04-26 23:31:48,1386825367948644352,@kchangnyt Can’t get it up (to orbit) lol
32,2021-04-26 23:17:54,1386821871199571968,@heydave7 Seems quite likely at least based on revenue in 2022 &amp; possibly total units in 2023
33,2021-04-26 23:15:01,1386821144037236737,"@stoolpresidente No, you do not. I have not sold any of my Bitcoin. Tesla sold 10% of its holdings essentially to p… https://t.co/JMnjABou4g"
34,2021-04-26 22:56:18,1386816432655290381,@jgrano305 @Orangetilt Yes
35,2021-04-26 22:54:23,1386815954181632000,"@Orangetilt Yeah, roughly 200MW/km^2 using currently available solar panels. 

What’s really amazing is that you ca… https://t.co/Ulbz8UlY2Q"
36,2021-04-26 19:11:05,1386759755088211974,"@PPathole An advantage I did have is that my father is a talented electrical &amp; mechanical engineer, so I was taught… https://t.co/D0xuHB5O19"
37,2021-04-26 18:10:31,1386744515856322563,@PPathole True. The opposite in fact – I provide financial support to my parents.
38,2021-04-26 18:06:44,1386743561585102853,RT @Space_Station: The @SpaceX Crew-1 astronauts will soon soar back to Earth and parachute to a splashdown off the coast of Florida. They…
39,2021-04-26 06:11:54,1386563667706011653,@BLKMDL3 @JohnnaCrider1 We just got approval to open a new Supercharger station in Malibu!
40,2021-04-26 06:08:53,1386562909833109505,@JohnnaCrider1 https://t.co/xl441YNnOs
41,2021-04-25 19:41:31,1386405029523845125,@BadAstronomer So awesome!
42,2021-04-25 03:20:46,1386158212970340354,Let’s find out just how live Saturday Night Live really is 😈
43,2021-04-25 03:09:25,1386155357739921412,Am hosting SNL on May 8
44,2021-04-25 02:40:29,1386148075434123264,@Tesmanian_com Yup
45,2021-04-24 09:24:24,1385887339742998528,RT @SpaceX: Docking confirmed – second time at the @space_station for this Dragon https://t.co/JLC9wOjRFT
46,2021-04-24 09:23:07,1385887015774867457,@KuroiKumanoashi Lies can be beautiful
47,2021-04-24 09:03:34,1385882094296092672,https://t.co/l6Bc0wkWol
48,2021-04-24 08:55:19,1385880018417557506,define … beauty
49,2021-04-24 08:54:25,1385879790381641728,What does the future hodl?
50,2021-04-24 08:53:28,1385879551008559109,"RT @RealLifeStarman: “We need to have a big permanently occupied base on the moon, and then build a city on Mars and become a spacefaring c…"
51,2021-04-23 14:38:12,1385603921121533954,@OwenSparks_ @PPathole Absolutely!
52,2021-04-23 14:23:41,1385600268620939265,@PPathole This is the essence of my philosophy
53,2021-04-23 14:18:06,1385598863399129090,@SciGuySpace This is important
54,2021-04-23 14:06:58,1385596061922779140,@lexfridman Yup
55,2021-04-23 11:28:20,1385556138561875970,RT @SpaceX: Dragon has separated from Falcon 9’s second stage and is on its way to the @space_station! Autonomous docking tomorrow at ~5:10…
56,2021-04-23 09:47:18,1385530714662133763,2 mins to launch https://t.co/q9nXKRrXpw
57,2021-04-23 08:13:41,1385507154531074048,Astronauts preparing to launch to @Space_Station https://t.co/WBkaDZexEc
58,2021-04-22 22:50:22,1385365390465937413,@JiriThunderDome Yeah
59,2021-04-22 22:25:32,1385359141053546496,@ICannot_Enough Haha true
60,2021-04-22 21:14:22,1385341229706190854,RT @xprize: Elon Musk and Peter Diamandis LIVE on $100M XPRIZE Carbon Removal https://t.co/M2ruxS0Zxt
61,2021-04-22 20:57:44,1385337043618836480,🌍🌎🌏 Happy Earth Day 🌍🌎🌏
62,2021-04-22 20:52:30,1385335728801001472,@hnshah Haha
63,2021-04-22 20:50:53,1385335321370431488,@jhall 🤣🤣
64,2021-04-22 20:21:12,1385327849297612802,RT @SpaceX: All systems and weather are looking good for Falcon 9’s launch of Dragon with four astronauts on board. Webcast will go live to…
65,2021-04-22 20:20:50,1385327759665270788,"@AstroJordy I’m staying at a friend’s place in Florida that is 85% powered by Tesla Solar Roof + Powerwall. 

When… https://t.co/5qtJec95aY"
66,2021-04-22 12:31:35,1385209666909659140,@28delayslater Does seem a little weird
67,2021-04-22 06:05:53,1385112605014908933,@OwenSparks_ @AstroJordy @neuralink 🤣
68,2021-04-22 06:02:03,1385111636810240002,"@JohnnaCrider1 @WholeMarsBlog If Tesla owners are “conspiracy theorists”, then it would be fair to call them “adver… https://t.co/GadN1Gg1un"
69,2021-04-22 05:49:17,1385108424761872387,Tesla Solar + Powerwall battery enables consumers to be their own utility
70,2021-04-22 05:47:06,1385107878055317509,@jack True
71,2021-04-22 05:39:40,1385106006141587459,"@ValaAfshar Very important. Most people don’t know this. Wind is also super cheap, especially when paired with batteries."
72,2021-04-22 05:38:03,1385105599608672257,@annerajb Newest units can probably do as much as 10kW continuous &amp; double that in peak power at 30C ambient temp.… https://t.co/2iI89NVjiB
73,2021-04-22 05:14:54,1385099771220688906,"Powerwall 2 peak &amp; steady power capability is better than advertised. 

Now that we have lots of operational data,… https://t.co/qbdztDgIAf"
74,2021-04-22 01:51:09,1385048499415183360,Solar power will feed exclusively to Powerwall. Powerwall will interface only between utility meter &amp; house main br… https://t.co/0A7Ygu0dV9
75,2021-04-22 01:27:43,1385042598692147204,"Starting next week, Tesla Solar Panels &amp; Solar Roof will only be sold as an integrated product *with* Tesla Powerwall battery"
76,2021-04-21 23:23:05,1385011236270526464,"@wintonARK Did you buy a Powerwall? Utility permission is required for flowing electricity back to grid, but usuall… https://t.co/c9c9v5gY0H"
77,2021-04-21 15:30:27,1384892295137333252,@TeslaNY Sandy Munro knows what he’s talking about
78,2021-04-21 15:24:07,1384890700085481473,"RT @Commercial_Crew: Launch Update 🚀 @NASA and @SpaceX now are targeting Friday, April 23 at 5:49 a.m. ET for the launch of the Crew-2 miss…"
79,2021-04-21 04:00:41,1384718706014441475,@teslaownersSV cgi irl!
80,2021-04-21 03:51:12,1384716322756386819,"@PPathole @Tesla @SpaceX I could get a job, just not at an Internet company (weren’t many back then)"
81,2021-04-20 19:32:21,1384590783504818178,@Liv_Boeree @TheBabylonBee Haha true
82,2021-04-20 19:28:16,1384589753236922374,@JohnnaCrider1 !!
83,2021-04-20 19:27:43,1384589614447423493,@kimpaquette New FSD rendering approach coming that better represents NN probability vector space
84,2021-04-20 18:49:56,1384580105649885188,@kimpaquette NHTSA is great
85,2021-04-20 18:47:01,1384579374607831042,@RenataKonkoly @GerberKawasaki Hell of a coincidence haha
86,2021-04-20 18:37:14,1384576909724459009,@GerberKawasaki 🤣
87,2021-04-20 16:51:05,1384550197410164738,RT @SpaceX: Falcon 9 and Dragon are looking good for flight of Crew-2 astronauts; teams are keeping an eye on launch site and downrange wea…
88,2021-04-20 03:20:24,1384346182399401991,@WholeMarsBlog Exactly
89,2021-04-20 03:19:31,1384345960495468548,@NASA Awesome!
90,2021-04-19 21:14:52,1384254194975010826,"@Amart15416132 @WSJ Your research as a private individual is better than professionals @WSJ! 

Data logs recovered… https://t.co/AtLNPtLDLn"
91,2021-04-19 02:10:00,1383966077344894979,@teslaownersSV @SpaceX @NASA @considercosmos Support for humanity’s future in space is super appreciated. Let’s mak… https://t.co/7RzwJJOY9C
92,2021-04-18 21:00:43,1383888245902118918,@flcnhvy 🤣🤣
93,2021-04-18 20:41:18,1383883358057373698,RT @SpaceX: SpaceX and @NASA completed a full rehearsal of launch day activities with the four Crew-2 astronauts https://t.co/u0hDCTx3Zp
94,2021-04-17 22:45:36,1383552252871200770,@WholeMarsBlog Passive Autopilot (sometimes called active safety) comes standard on all Teslas
95,2021-04-17 22:39:39,1383550753956982787,"@WholeMarsBlog Essentially, passive Autopilot (car intervenes only when crash probability is high) cuts crashes in… https://t.co/PYq10ndNat"
96,2021-04-17 22:32:03,1383548841438236674,Tesla with Autopilot engaged now approaching 10 times lower chance of accident than average vehicle https://t.co/6lGy52wVhC
97,2021-04-17 05:46:56,1383295895043600384,Dragon spacecraft &amp; Falcon 9 rocket https://t.co/A6fsNlsN9z
98,2021-04-17 04:51:09,1383281856984936450,@WhatsupFranks Great progress by Tesla team
99,2021-04-17 04:46:34,1383280704042127363,"If we make life multiplanetary, there may come a day when some plants &amp; animals die out on Earth, but are still alive on Mars"
